dataset,hyperparameter_setting_id,bits,weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,method,min
sulfur,34,6,0.0,0.001,5,256,70,0.001,Pr-MQ,0.1029607699252664
sulfur,21,6,0.0001,0.0001,6,2048,70,0.001,Pr-QQ,0.1964201585738919
sulfur,18,6,0.0,0.0001,6,2048,70,0.0001,Bw-MQ,0.1153564904816448
sulfur,49,6,0.0,0.0001,5,1024,50,0.001,Bw-QQ,0.1302268019528127
sulfur,41,6,0.0,0.001,5,64,70,0.001,SQ,0.140789818635676
sulfur,22,6,0.0,0.0001,5,8192,50,0.001,Bw-SQ,0.1105623232200741
sulfur,31,7,0.0,0.0001,5,512,70,0.001,FP,0.1042612180812283
sulfur,31,7,0.0,0.0001,5,512,70,0.001,Po-MQ,0.1073873130721039
sulfur,31,7,0.0,0.0001,5,512,70,0.001,Po-QQ,0.1135413587093353
sulfur,14,7,0.0001,0.0001,6,1024,70,0.0001,Pr-MQ,0.1075932353851385
sulfur,18,7,0.0,0.0001,5,256,70,0.001,Pr-QQ,0.1729260322405025
sulfur,31,7,0.0,0.0001,5,512,70,0.001,Bw-MQ,0.1102115388493984
sulfur,18,7,0.0,0.0001,5,256,70,0.001,Bw-QQ,0.1265440218383446
sulfur,31,7,0.0,0.0001,5,512,70,0.001,SQ,0.1475311155896633
sulfur,31,7,0.0,0.0001,5,512,70,0.001,Bw-SQ,0.1090663219802081
sulfur,7,8,0.0,0.001,6,256,70,0.0001,FP,0.10284530359786
sulfur,7,8,0.0,0.001,6,256,70,0.0001,Po-MQ,0.1034688073326833
sulfur,7,8,0.0,0.001,6,256,70,0.0001,Po-QQ,0.107002821471542
sulfur,1,8,0.0,0.0001,6,8192,70,0.0001,Pr-MQ,0.0954112376202828
sulfur,8,8,0.0001,0.0001,5,256,70,0.001,Pr-QQ,0.1667703806073404
sulfur,0,8,0.0,0.0001,6,1024,50,0.0001,Bw-MQ,0.1101251046289689
sulfur,1,8,0.0,0.0001,6,8192,70,0.0001,Bw-QQ,0.1164912849082611
sulfur,25,8,0.0001,0.001,5,512,70,0.001,SQ,0.1717929149977862
sulfur,16,8,0.0001,0.0001,5,8192,70,0.001,Bw-SQ,0.1160985696711577
superconduct,44,2,0.0,0.0001,6,4096,70,0.0001,FP,0.0797290883872739
superconduct,49,2,0.0,0.001,10,512,70,0.0001,Po-MQ,0.4665426820256363
superconduct,17,2,0.0,0.001,8,1024,30,0.0001,Po-QQ,0.2445646677508621
superconduct,22,2,0.0,0.0001,6,1024,50,0.0001,Pr-MQ,0.1270571839440997
superconduct,22,2,0.0,0.0001,6,1024,50,0.0001,Pr-QQ,0.0862714033115052
superconduct,31,2,0.0001,0.0001,5,1024,30,0.0001,Bw-MQ,0.1283229720203534
superconduct,44,2,0.0,0.0001,6,4096,70,0.0001,Bw-QQ,0.0847122794599271
superconduct,44,2,0.0,0.0001,6,4096,70,0.0001,SQ,0.0832319261040538
superconduct,44,2,0.0,0.0001,6,4096,70,0.0001,Bw-SQ,0.0831090720996999
superconduct,11,3,0.0,0.0001,5,1024,50,0.001,FP,0.0829626745356054
superconduct,19,3,0.0,0.001,10,256,30,0.0001,Po-MQ,0.2312006477691123
superconduct,19,3,0.0,0.001,10,256,30,0.0001,Po-QQ,0.1672829670728841
superconduct,6,3,0.0001,0.0001,6,4096,70,0.001,Pr-MQ,0.0990720885966712
superconduct,39,3,0.0001,0.0001,5,4096,70,0.001,Pr-QQ,0.0850008444572963
